Created with UCDetector 2.0.0	2023-11-20 17:18:44	http://www.ucdetector.org/	Created by class: org.ucdetector.report.TextReport	
Location	Description	Java	Marker	Author
main.MainAPP.<init>(MainAPP.java:11)	Class "MainAPP" has 0 references	MainAPP	org.ucdetector.analyzeMarkerReference	
main.MainFrame.MainFrame(MainFrame.java:43)	Change visibility of Constructor "MainFrame.MainFrame(List<Tavolo>,List<Componente>)" to default	MainFrame.MainFrame(List<Tavolo>,List<Componente>)	org.ucdetector.analyzeMarkerVisibilityDefault	
main.MainFrame.openTavolo(MainFrame.java:84)	Change visibility of Method "MainFrame.openTavolo(Tavolo)" to private	MainFrame.openTavolo(Tavolo)	org.ucdetector.analyzeMarkerVisibilityPrivate	
main.MainFrame.openImpostazioni(MainFrame.java:134)	Change visibility of Method "MainFrame.openImpostazioni()" to default	MainFrame.openImpostazioni()	org.ucdetector.analyzeMarkerVisibilityDefault	
main.MainFrame.contentPane(MainFrame.java:28)	Change visibility of Field "MainFrame.contentPane" to private	MainFrame.contentPane	org.ucdetector.analyzeMarkerVisibilityPrivate	
main.MainFrame.btnTavoli(MainFrame.java:29)	Field "MainFrame.btnTavoli" has 0 references	MainFrame.btnTavoli	org.ucdetector.analyzeMarkerReference	
main.MainFrame.btnImpostazioni(MainFrame.java:30)	Field "MainFrame.btnImpostazioni" has 0 references	MainFrame.btnImpostazioni	org.ucdetector.analyzeMarkerReference	
main.MainFrame.panelTavolo(MainFrame.java:32)	Field "MainFrame.panelTavolo" has 0 references	MainFrame.panelTavolo	org.ucdetector.analyzeMarkerReference	
main.BarraMenu.<init>(BarraMenu.java:10)	Change visibility of Class "BarraMenu" to default - May cause compile errors!	BarraMenu	org.ucdetector.analyzeMarkerVisibilityDefault	
main.BarraMenu.BarraMenu(BarraMenu.java:16)	Change visibility of Constructor "BarraMenu.BarraMenu(MainFrame)" to default	BarraMenu.BarraMenu(MainFrame)	org.ucdetector.analyzeMarkerVisibilityDefault	
main.PanelMain.<init>(PanelMain.java:8)	Class "PanelMain" has 0 references	PanelMain	org.ucdetector.analyzeMarkerReference	
main.FrameSelezioneCoperti.<init>(FrameSelezioneCoperti.java:19)	Change visibility of Class "FrameSelezioneCoperti" to default - May cause compile errors!	FrameSelezioneCoperti	org.ucdetector.analyzeMarkerVisibilityDefault	
main.FrameSelezioneCoperti.FrameSelezioneCoperti(FrameSelezioneCoperti.java:27)	Change visibility of Constructor "FrameSelezioneCoperti.FrameSelezioneCoperti(Tavolo,WindowAdapter)" to default	FrameSelezioneCoperti.FrameSelezioneCoperti(Tavolo,WindowAdapter)	org.ucdetector.analyzeMarkerVisibilityDefault	
main.FrameSelezioneCoperti.getTavolo(FrameSelezioneCoperti.java:97)	Method "FrameSelezioneCoperti.getTavolo()" has 0 references	FrameSelezioneCoperti.getTavolo()	org.ucdetector.analyzeMarkerReference	
main.impostazioni.PanelImpostazioniDestro.<init>(PanelImpostazioniDestro.java:5)	Change visibility of Class "PanelImpostazioniDestro" to default - May cause compile errors!	PanelImpostazioniDestro	org.ucdetector.analyzeMarkerVisibilityDefault	
main.impostazioni.PanelImpostazioniDestro.seleziona_panel(PanelImpostazioniDestro.java:28)	Change visibility of Method "PanelImpostazioniDestro.seleziona_panel(int)" to default	PanelImpostazioniDestro.seleziona_panel(int)	org.ucdetector.analyzeMarkerVisibilityDefault	
main.impostazioni.PanelImpostazioniModifica.<init>(PanelImpostazioniModifica.java:5)	Change visibility of Class "PanelImpostazioniModifica" to default - May cause compile errors!	PanelImpostazioniModifica	org.ucdetector.analyzeMarkerVisibilityDefault	
main.impostazioni.PanelImpostazioniComponenti.<init>(PanelImpostazioniComponenti.java:12)	Change visibility of Class "PanelImpostazioniComponenti" to default - May cause compile errors!	PanelImpostazioniComponenti	org.ucdetector.analyzeMarkerVisibilityDefault	
main.impostazioni.PanelImpostazioni.TAVOLI(PanelImpostazioni.java:15)	Constant "PanelImpostazioni.TAVOLI" has 0 references	PanelImpostazioni.TAVOLI	org.ucdetector.analyzeMarkerReference	
